file_name,label
Image_test_00001.jpg,0
Image_test_00002.jpg,0
Image_test_00003.jpg,0
Image_test_00004.jpg,0
Image_test_00005.jpg,0
Image_test_00006.jpg,0
Image_test_00007.jpg,0
Image_test_00008.jpg,0
Image_test_00009.jpg,0
Image_test_00010.jpg,0
Image_test_00011.jpg,0
Image_test_00012.jpg,0
Image_test_00013.jpg,0
Image_test_00014.jpg,0
Image_test_00015.jpg,0
Image_test_00016.jpg,0
Image_test_00017.jpg,0
Image_test_00018.jpg,0
Image_test_00019.jpg,0
Image_test_00020.jpg,0
Image_test_00021.jpg,0
Image_test_00022.jpg,0
Image_test_00023.jpg,0
Image_test_00024.jpg,0
Image_test_00025.jpg,0
Image_test_00026.jpg,0
Image_test_00027.jpg,0
Image_test_00028.jpg,0
Image_test_00029.jpg,0
Image_test_00030.jpg,0
Image_test_00031.jpg,0
Image_test_00032.jpg,0
Image_test_00033.jpg,0
Image_test_00034.jpg,0
Image_test_00035.jpg,0
Image_test_00036.jpg,0
Image_test_00037.jpg,0
Image_test_00038.jpg,0
Image_test_00039.jpg,0
Image_test_00040.jpg,0
Image_test_00041.jpg,0
Image_test_00042.jpg,0
Image_test_00043.jpg,0
Image_test_00044.jpg,0
Image_test_00045.jpg,0
Image_test_00046.jpg,0
Image_test_00047.jpg,0
Image_test_00048.jpg,0
Image_test_00049.jpg,0
Image_test_00050.jpg,0
Image_test_00051.jpg,0
Image_test_00052.jpg,0
Image_test_00053.jpg,0
Image_test_00054.jpg,0
Image_test_00055.jpg,0
Image_test_00056.jpg,0
Image_test_00057.jpg,0
Image_test_00058.jpg,0
Image_test_00059.jpg,0
Image_test_00060.jpg,0
Image_test_00061.jpg,0
Image_test_00062.jpg,0
Image_test_00063.jpg,0
Image_test_00064.jpg,0
Image_test_00065.jpg,0
Image_test_00066.jpg,0
Image_test_00067.jpg,0
Image_test_00068.jpg,0
Image_test_00069.jpg,0
Image_test_00070.jpg,0
Image_test_00071.jpg,0
Image_test_00072.jpg,0
Image_test_00073.jpg,0
Image_test_00074.jpg,0
Image_test_00075.jpg,0
Image_test_00076.jpg,0
Image_test_00077.jpg,0
Image_test_00078.jpg,0
Image_test_00079.jpg,0
Image_test_00080.jpg,0
Image_test_00081.jpg,0
Image_test_00082.jpg,0
Image_test_00083.jpg,0
Image_test_00084.jpg,0
Image_test_00085.jpg,0
Image_test_00086.jpg,0
Image_test_00087.jpg,0
Image_test_00088.jpg,0
Image_test_00089.jpg,0
Image_test_00090.jpg,0
Image_test_00091.jpg,0
Image_test_00092.jpg,0
Image_test_00093.jpg,0
Image_test_00094.jpg,0
Image_test_00095.jpg,0
